,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
68,POINT (-75.04857506412728 40.02131384733514),69,Frank JG Dorsey Memorial Playground,1848,PPR_REC,C,Y,N,35, ,Programs 9/2021
69,POINT (-75.15231545753453 40.02449835499566),70,Stenton Park,1958,PPR_REC,B,Y,N,131, ,Programs 9/2021
70,POINT (-75.08013191747358 40.0242359823519),71,Joseph C McIlvain Playground,1907,PPR_REC,C,Y,N,88, ,Programs 9/2021
71,POINT (-75.21135314168355 40.02882834481153),72,W Freeland Kendrick Recreation Center,1885,PPR_REC,A,Y,Y,71, ,Programs 9/2021
72,POINT (-75.05423440259216 40.0258209715733),73,Franklin Delano Roosevelt Playground,1943,PPR_REC,A,Y,N,114, ,Programs 9/2021
73,POINT (-75.04916539462927 40.02812491824748),74,Joseph F Vogt Playground,1968,PPR_REC,A,Y,Y,139, ,Programs 9/2021
74,POINT (-75.04404778822337 40.02838246217692),75,Disston Recreation Center,1847,PPR_REC,A,Y,Y,33, ,Programs 9/2021
75,POINT (-75.06126381441585 40.02938935698677),76,Lower Mayfair Playground,1898,PPR_REC,B,Y,N,78, ,Programs 9/2021
76,POINT (-75.09367575725028 40.02970474020697),77,Edward Houseman Playground,1875,PPR_REC,A,Y,Y,62, ,Programs 9/2021
77,POINT (-75.13567434084139 40.0312773735014),78,John L Barrett Playground,1814,PPR_REC,C,Y,N,10, ,Programs 9/2021
78,POINT (-75.16026612134129 40.0323774299799),79,Wister Playground,1974,PPR_REC,C,Y,N,147, ,Programs 9/2021
79,POINT (-75.22908717927008 40.03395115494276),80,Hillside Recreation Center,1872,PPR_REC,A,Y,Y,59, ,Programs 9/2021
80,POINT (-75.03342485639227 40.03006659291616),81,Charles A Russo Playground,1946,PPR_REC,B,Y,N,116, ,Programs 9/2021
81,POINT (-75.11808114241377 40.03411018467542),82,Charles J Ziehler Playground,1976,PPR_REC,B,Y,N,149, ,Programs 9/2021
82,POINT (-75.04212233597937 40.03223139377945),83,Senator William Vincent Mullin Playground,1918,PPR_REC,C,Y,N,96, ,Programs 9/2021
83,POINT (-75.13680120784088 40.03830509187132),84,A Albert Cherashore Playground,1828,PPR_REC,B,Y,N,20, ,Programs 9/2021
84,POINT (-75.0271404240536 40.03610125316262),85,Holmesburg Recreation Center,1873,PPR_REC,B,Y,N,61, ,Programs 9/2021
85,POINT (-75.07038812811929 40.03874114565035),86,Max Myers Playground,1904,PPR_REC,A,Y,N,83, ,Programs 9/2021
86,POINT (-75.15630330603274 40.04217380210204),87,Belfield Recreation Center,1815,PPR_REC,A,Y,Y,12, ,Programs 9/2021
87,POINT (-75.08218162475808 40.04072221529906),88,Seymour Tarken Recreation Center,1962,PPR_REC,A,Y,N,134,Tarkan Ice Rink is a separate buliding on the same site.,Programs 9/2021
88,POINT (-75.05308337324611 40.03988167774603),89,Mayfair Recreation Center,1905,PPR_REC,A,Y,Y,84, ,Programs 9/2021
89,POINT (-75.11687036552763 40.04253854939871),90,Olney Recreation Center,1924,PPR_REC,A,Y,Y,101,Closed for Rebuild ,Programs 9/2021
90,POINT (-75.16868646511807 40.04542219874416),91,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,142, ,Programs 9/2021
91,POINT (-75.10132019198555 40.04615633460727),92,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,74, ,Programs 9/2021
92,POINT (-75.17968608687201 40.04773278458171),93,Daniel E Rumph II Recreation Center,1945,PPR_REC,B,Y,Y,79, ,Programs 9/2021
93,POINT (-75.12381393378034 40.04910703600068),94,Helen G Sturgis Playground,1960,PPR_REC,B,Y,N,133, ,Programs 9/2021
94,POINT (-75.14636289021909 40.05054228299058),95,Morris Estate Cultural Center,1914,PPR_REC,B,Y,N,94, ,Programs 9/2021
95,POINT (-75.02456936295395 40.0478974189828),96,James J Ramp Playground,1938,PPR_REC,B,Y,N,112, ,Programs 9/2021
96,POINT (-75.00196045203964 40.05140170391768),97,George Jacobs Playground,1877,PPR_REC,B,Y,N,65,"Gym on site is Non-PPR, it is an athletic association.",Programs 9/2021
97,POINT (-75.18802028519175 40.05773574337832),98,Mount Airy Playground,1917,PPR_REC,B,Y,N,95, ,Programs 9/2021
98,POINT (-75.18239753095978 40.05709208983483),99,Pleasant Playground,1936,PPR_REC,B,Y,N,111, ,Programs 9/2021
99,POINT (-75.07642176607767 40.05623382578428),100,Thomas E Jardel Memorial Field,1879,PPR_REC,A,Y,Y,67, ,Programs 9/2021
100,POINT (-75.01156663270854 40.05613178704812),101,Thomas Holme School Playground,2939,PPR_REC,C,Y,N,60,"School District Property, PPR Programs",Programs 9/2021
101,POINT (-75.15748535118303 40.06157005930251),102,William B Simons Recreation Center,1953,PPR_REC,A,Y,Y,127, ,Programs 9/2021
102,POINT (-75.0507793611057 40.0617409521313),103,George C Pelbano Playground,1987,PPR_REC,A,Y,Y,107, ,Programs 9/2021
103,POINT (-75.23139860781964 40.06910761490928),104,Samuel F Houston Playground,1876,PPR_REC,B,Y,N,63,Located within Wissahickon Valley Park,Programs 9/2021
104,POINT (-74.99194830921097 40.06823960592833),105,Thomas Mitchell Playground,1912,PPR_REC,B,Y,N,92, ,Programs 9/2021
105,POINT (-75.20049790601129 40.07537903224708),106,Water Tower Recreation Center,1979,PPR_REC,A,Y,Y,140, ,Programs 9/2021
106,POINT (-75.08167880557907 40.07419482724499),107,Fox Chase Recreation Center,1857,PPR_REC,A,Y,Y,44, ,Programs 9/2021
107,POINT (-75.17566251637867 40.08145064430606),108,Dorothy Emanuel Recreation Center,1849,PPR_REC,A,Y,Y,38, ,Programs 9/2021
108,POINT (-74.9740189609193 40.08011207423348),109,Corporal Jimmy OConnor Memorial Playground,1826,PPR_REC,A,Y,N,19,"Gym nearby is NOT PPR, it is an athletic association building. Formerly Chalfont Playground",Programs 9/2021
109,POINT (-74.9892685788723 40.08044251697137),110,Elizabeth M Picariello Playground,1934,PPR_REC,B,Y,N,109, ,Programs 9/2021
110,POINT (-75.02078198772077 40.09117743855418),111,Officer Robert Hayes Memorial Playground,1923,PPR_REC,B,Y,Y,56,Gym extension constructred in 2019.,Programs 9/2021
111,POINT (-74.98906436719292 40.09578237158227),112,Michael Palmer Playground,1926,PPR_REC,B,Y,N,102,"Northern property building is for the Far NE Athletic Association, it is NOT PPR Programmed.",Programs 9/2021
112,POINT (-74.97219478867822 40.09632118686989),113,Eileen Fitzpatrick Playground,1983,PPR_REC,B,Y,N,42, ,Programs 9/2021
113,POINT (-75.03320141420475 40.10026794858139),114,William A Lackman Memorial Playground,1888,PPR_REC,B,Y,N,73, ,Programs 9/2021
114,POINT (-74.96943963409547 40.10340605685995),115,Jim Junod Recreation Center,1883,PPR_REC,B,Y,N,70, ,Programs 9/2021
115,POINT (-75.02472467780453 40.11490966069039),116,Tomlinson and Gifford Playground,1863,PPR_REC,B,Y,N,48, ,Programs 9/2021
116,POINT (-75.15956395013632 40.04999922115169),117,Lonnie Young Recreation Center of East Germantown,1897,PPR_REC,A,Y,Y,77, ,Programs 9/2021
